"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2021","1,134.90","1,133.40","1,135.96","1,130.24","","0.18%"
"03/23/2021","1,132.90","1,126.49","1,134.48","1,125.02","","0.61%"
"03/22/2021","1,126.00","1,129.47","1,134.01","1,125.61","","-0.28%"
"03/19/2021","1,129.12","1,128.25","1,134.80","1,125.31","","0.12%"
"03/18/2021","1,127.75","1,121.91","1,131.30","1,120.04","","0.58%"
"03/17/2021","1,121.21","1,129.93","1,134.31","1,120.65","","-0.69%"
"03/16/2021","1,129.00","1,132.85","1,135.91","1,128.14","","-0.30%"
"03/15/2021","1,132.35","1,136.50","1,138.78","1,130.92","","-0.32%"
"03/12/2021","1,136.00","1,130.85","1,139.35","1,127.27","","0.50%"
"03/11/2021","1,130.35","1,136.91","1,140.99","1,128.90","","-0.49%"
"03/10/2021","1,135.91","1,135.91","1,145.60","1,135.31","","0.09%"
"03/09/2021","1,134.91","1,141.83","1,144.85","1,133.38","","-0.52%"
"03/08/2021","1,140.83","1,128.85","1,144.07","1,127.06","","1.14%"
"03/05/2021","1,128.00","1,131.03","1,137.27","1,124.04","","-0.25%"
"03/04/2021","1,130.87","1,127.05","1,133.06","1,123.36","","0.43%"
"03/03/2021","1,126.05","1,125.29","1,128.05","1,116.95","","0.09%"
"03/02/2021","1,125.01","1,113.53","1,128.28","1,102.06","","1.05%"
"03/01/2021","1,113.33","1,124.89","1,125.15","1,113.09","","-0.94%"
"02/26/2021","1,123.89","1,119.47","1,130.33","1,118.41","","0.46%"
"02/25/2021","1,118.77","1,107.54","1,121.61","1,105.70","","1.04%"
"02/24/2021","1,107.27","1,110.22","1,113.75","1,106.08","","-0.26%"
"02/23/2021","1,110.13","1,112.58","1,114.81","1,108.24","","-0.13%"
"02/22/2021","1,111.59","1,106.02","1,116.10","1,102.83","","0.66%"
"02/19/2021","1,104.27","1,107.08","1,111.28","1,102.22","","-0.24%"
"02/18/2021","1,106.96","1,106.50","1,110.15","1,103.19","","0.12%"
"02/17/2021","1,105.61","1,107.58","1,110.81","1,104.49","","-0.09%"
"02/16/2021","1,106.58","1,102.31","1,109.55","1,096.91","","0.48%"
"02/15/2021","1,101.31","1,104.37","1,106.00","1,100.70","","-0.12%"
"02/12/2021","1,102.59","1,103.12","1,107.59","1,101.73","","0.04%"
"02/11/2021","1,102.12","1,106.48","1,108.02","1,102.05","","-0.30%"
"02/10/2021","1,105.48","1,111.01","1,114.16","1,103.59","","-0.49%"
"02/09/2021","1,110.88","1,117.31","1,118.75","1,110.08","","-0.42%"
"02/08/2021","1,115.61","1,117.76","1,122.17","1,116.05","","-0.10%"
"02/05/2021","1,116.77","1,120.11","1,127.85","1,116.22","","-0.29%"
"02/04/2021","1,120.00","1,113.58","1,122.74","1,112.48","","0.59%"
"02/03/2021","1,113.46","1,115.51","1,117.25","1,111.80","","-0.17%"
"02/02/2021","1,115.37","1,117.44","1,119.70","1,113.65","","-0.10%"
"02/01/2021","1,116.51","1,118.43","1,120.98","1,115.55","","-0.10%"
"01/29/2021","1,117.64","1,113.24","1,121.76","1,112.15","","0.46%"
"01/28/2021","1,112.52","1,108.42","1,121.36","1,107.49","","0.37%"
"01/27/2021","1,108.38","1,102.01","1,109.90","1,100.87","","0.67%"
"01/26/2021","1,101.02","1,102.69","1,108.24","1,100.47","","-0.14%"
"01/25/2021","1,102.58","1,105.54","1,105.92","1,100.05","","-0.26%"
